time,seconds_elapsed,dBFS
1751119140287000000,0.012,-160
1751119140428000000,0.153,-160
1751119140539000000,0.264,-118
1751119140657000000,0.382,-107
1751119140772000000,0.497,-95
1751119140891000000,0.616,-93
1751119141009000000,0.734,-85
1751119141127000000,0.852,-88
1751119141245000000,0.97,-96
1751119141361000000,1.086,-86
1751119141480000000,1.205,-88
1751119141599000000,1.324,-85
1751119141713000000,1.438,-90
1751119141831000000,1.556,-62
1751119141947000000,1.672,-93
1751119142066000000,1.790999755859375,-98
1751119142184000000,1.909,-92
1751119142302000000,2.027000244140625,-95
1751119142419000000,2.144,-99
1751119142537000000,2.262,-96
1751119142653000000,2.378,-91
1751119142770000000,2.494999755859375,-85
1751119142888000000,2.613,-69
1751119143007000000,2.732,-75
1751119143125000000,2.85,-86
1751119143242000000,2.966999755859375,-87
1751119143358000000,3.083000244140625,-84
1751119143478000000,3.203000244140625,-80
1751119143593000000,3.318,-77
1751119143712000000,3.437,-83
1751119143827000000,3.552,-92
1751119143946000000,3.670999755859375,-93
1751119144062000000,3.787000244140625,-89
1751119144186000000,3.910999755859375,-41
1751119144301000000,4.026,-43
1751119144414000000,4.139000244140625,-46
1751119144532000000,4.257,-76
1751119144650000000,4.374999755859375,-80
1751119144769000000,4.494,-45
1751119536288000000,396.013,-18
1751119536445000000,396.17,-91
1751119536560000000,396.285,-98
1751119536718000000,396.44300024414065,-88
1751119536828000000,396.553,-91
1751119536962000000,396.68699975585935,-88
1751119537107000000,396.832,-92
1751119537204000000,396.929,-97
1751119537316000000,397.041,-92
1751119537423000000,397.148,-86
1751119537532000000,397.257,-92
1751119537641000000,397.366,-92
1751119537749000000,397.474,-101
1751119537860000000,397.585,-100
1751119537971000000,397.696,-97
1751119538078000000,397.8030002441406,-89
1751119538186000000,397.9109997558594,-91
1751119538298000000,398.02299975585936,-89
1751119538406000000,398.13100024414064,-83
1751119538514000000,398.23899975585937,-79
1751119538622000000,398.34700024414065,-77
1751119538733000000,398.458,-82
1751119538841000000,398.566,-83
1751119538951000000,398.676,-86
1751119539067000000,398.792,-89
1751119539185000000,398.91,-84
1751119539303000000,399.028,-77
1751119539420000000,399.145,-83
1751119539538000000,399.26299975585937,-88
1751119539656000000,399.381,-86
1751119539765000000,399.49,-92
